ID_UNIDADE_ORC;SQA_UNIDADE_ORCAM;ANO_EXERCICIO;CD_UNIDADE_ORC;NOME
7603;2110;2016;2431;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE
7610;2117;2016;4121;FUNDO DE APOIO HABITACIONAL DA ASSEMBLEIA LEGISLATIVA DE MINAS GERAIS
7343;2005;2016;1011;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS
7353;2015;2016;1101;OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS
7357;2019;2016;1191;SECRETARIA DE ESTADO DE FAZENDA
7360;2022;2016;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO
7365;2027;2016;1301;SECRETARIA DE ESTADO  DE TRANSPORTES  E OBRAS PUBLICAS
7372;2034;2016;1441;DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS
7376;2038;2016;1461;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO
7386;2053;2016;1501;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO
7396;2056;2016;1521;CONTROLADORIA-GERAL DO ESTADO
7416;2076;2016;4551;FUNDO DE ASSISTENCIA AO PECULIO DOS SERVIDORES PUBLICOS DO ESTADO DE MINAS GERAIS
7431;2091;2016;2201;INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS
7601;2108;2016;2401;INSTITUTO DE GEOINFORMACAO  E TECNOLOGIA
7602;2109;2016;2421;INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS
7346;2008;2016;4031;FUNDO ESPECIAL DO PODER JUDICIARIO DO ESTADO DE MINAS GERAIS
7354;2016;2016;1111;ESCRITORIO DE REPRESENTACAO DO GOVERNO DO ESTADO DE MINAS GERAIS EM BRASILIA
7363;2025;2016;1271;SECRETARIA DE ESTADO DE CULTURA
7417;2077;2016;2041;LOTERIA DO ESTADO DE MINAS GERAIS
7425;2085;2016;4541;FUNDO DE APOIO HABITACIONAL AOS MILITARES DO ESTADO DE MINAS GERAIS
7434;2094;2016;2251;JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS
